Comment,cut_comment,knn_sentiment
我曾经学过Linux，这门课让我对操作系统有了更进一步的认识，对于准备求职的我帮助很大，非常感谢。,曾经 学过 Linux 这门 课 操作系统 更进一步 认识 准备 求职 帮助 很大 非常感谢,1
一般般吧。。,一般般,1
讲的很清晰，还特地在知识点说完时停顿一会，让学生思考，很贴心！,讲 很 清晰 还 特地 知识点 说完 时 停顿 一会 学生 思考 很 贴心,1
课程好 讲解佳,课程 好 讲解 佳,1
高质量很常用,高质量 很 常用,1
.......,.......,1
棒棒棒棒棒,棒棒 棒棒 棒,1
非常细节。,非常 细节,1
还不错吧！,还 不错,1
非常好 棒棒,非常 好 棒棒,1
老师讲的很好,老师 讲 很 好,1
、、、、、、,,1
不错非常不错,不错 非常 不错,1
对我受益匪浅,受益匪浅,1
不错不错哈哈哈,不错 不错 哈哈哈,1
老师讲的很详细，真的很好，推荐,老师 讲 很 详细 真的 很 好 推荐,1
后半部分可以多讲一下就好了,后半部 分 讲 一下 好,1
12345,12345,1
谢谢为这门课贡献的老师，从这门课中学到到很多,谢谢 这门 课 贡献 老师 这门 课 中学 很多,1
不错的课程,不错 课程,1
感受非常好,感受 非常 好,1
非常棒，学到许多,非常 棒 学到,1
好好哈哈哈哈,好好 哈哈哈哈,1
好好好好好好,好好 好好 好好,1
好！！！！！,好,1
很不错的课程,很 不错 课程,1
好好好好，清晰透彻，很喜欢这样的上课方式,好好 好好 清晰 透彻 很 喜欢 上课 方式,1
简单易懂，充分照顾了我这种不理解晦涩概念学生的感受，如果每节课都配合对应的实际例子而不是总结性实验就好了,简单 易懂 充分 照顾 这种 不 理解 晦涩 概念 学生 感受 每节课 都 配合 对应 实际 例子 不是 总结性 实验 好,1
好好好好好,好好 好好 好,1
老师讲的非常棒，受益良多，赞！,老师 讲 非常 棒 受益 良多 赞,1
讲的非常好,讲 非常 好,1
精准、细致、流畅,精准 细致 流畅,1
跨考听懂没什么问题，很通俗形象，就差做题了。,跨考 听懂 没什么 问题 很 通俗 形象 差 做题,1
挺好的 内容讲的挺详细,挺 好 内容 讲 挺 详细,1
很不错，通俗易懂，简洁明了，“直戳要害”,很 不错 通俗易懂 简洁明了 直 戳 要害,1
嗯嗯嗯额好,额 好,1
讲述清楚，练习合理。,讲述 清楚 练习 合理,1
非常棒！！！,非常 棒,1
太好了，学到了很多,太好了 学到 很多,1
飞飞飞饭饭,飞飞 飞饭 饭,1
真是好极了,真是 好极了,1
ssssss,ssssss,1
感觉还不错,感觉 还 不错,1
上次学习这么认真还是上次。,上次 学习 认真 上次,1
不错，很不错,不错 很 不错,1
超级棒棒哒,超级 棒棒 哒,1
好，很好，非常好,好 很 好 非常 好,1
实在是好呀,实在 好呀,1
讲得非常好,讲得 非常 好,1
受益匪浅！,受益匪浅,1
通过学习，有收获！,学习 收获,1
老师讲的非常好,老师 讲 非常 好,1
真的很棒，尤其是进程那块讲的很清楚。,真的 很棒 尤其 进程 那块 讲 很 清楚,1
谢谢徐老师，讲的很用心，段卫华老师线下课讲的也很棒，辛苦了！,谢谢 徐 老师 讲 很 用心 段卫华 老师 线 下课 讲 很棒 辛苦,1
很棒，讲的非常详细，清晰易懂,很棒 讲 非常 详细 清晰 易懂,1
老师讲的不错，比较吸引人，不是那种纯念PPT的,老师 讲 不错 比较 吸引 人 不是 那种 纯念 PPT,1
非常非常好,非常 非常 好,1
讲课激情澎湃，逻辑清晰，非常优秀。,讲课 激情 澎湃 逻辑 清晰 非常 优秀,1
真的太棒了耶！,真的 太棒了 耶,1
课程内容由浅入深，授课方式逻辑严谨，所举的例子生科具体的阐明了知识点特点，我不是水军，老师讲的真的不错。,课程内容 由浅入深 授课 方式 逻辑 严谨 所举 例子 生科 具体 阐明 知识点 特点 不是 水军 老师 讲 真的 不错,1
。。。。。,,1
棒棒的！！！！！,棒棒,1
好好好好好好好,好好 好好 好好 好,1
老师讲的很好 很详细 ！,老师 讲 很 好 很 详细,1
终于找到一个不读ppt的老师了！,终于 找到 不读 ppt 老师,1
好好学习天天向上,好好学习 天天向上,1
"课程讲的不错,要是能提供全部的ppt，那么会更加方便学习了",课程 讲 不错 提供 全部 ppt 会 更加 方便 学习,1
谢谢老师们的分享,谢谢 老师 分享,1
还不错吧，,还 不错,1
哇！超出预期了,超出 预期,1
讲的很透彻,讲 很 透彻,1
讲的很透彻,讲 很 透彻,1
讲的很透彻,讲 很 透彻,1
讲的很透彻,讲 很 透彻,1
讲的很透彻,讲 很 透彻,1
感觉还行把,感觉 还行,1
坐标物联网学院，有些内容没有，上网课的时候老师还得补充，要是内容更详尽一点就好了,坐标 物 联网 学院 内容 没有 上网 课 老师 还 补充 内容 更 详尽 一点 好,1
教学内容非常详细,教学内容 非常 详细,1
徐老师讲得很好，结合实例扩展教学，但是感觉某些地方还是不够详细，希望能多多扩展一下相关的知识,徐 老师 讲得 很 好 结合 实例 扩展 教学 感觉 地方 不够 详细 希望 多多 扩展 一下 相关 知识,1
浅显的讲解的计算机软硬件，各个功能模块之间的通信原理，以及对计算机通信的一些应用及展望。,浅显 讲解 计算机 软硬件 功能模块 之间 通信 原理 计算机 通信 应用 展望,1
课程讲的不错,课程 讲 不错,1
讲得很详细，如果把每节课的ppt上传就更好了,讲得 很 详细 每节课 ppt 上传 更好,1
课程很细节，还有很棒的扩展课程，解答了我长久以来的一些疑问，好评,课程 很 细节 很棒 扩展 课程 解答 长久以来 疑问 好评,1
希望可以有课件放mooc上,希望 课件 放 mooc 上,1
很好很好很好,很 好 很 好 很 好,1
感觉挺好的,感觉 挺 好,1
太棒了，受益匪浅,太棒了 受益匪浅,1
老师讲的很好！！！！！！,老师 讲 很 好,1
不错，不错,不错 不错,1
非常的方便,非常 方便,1
老师讲解详细,老师 讲解 详细,1
讲课通俗易懂就是例题有点少，没有计算题目分析题目，题目要是有解析就更好了。,讲课 通俗易懂 例题 有点 少 没有 计算 题目 分析 题目 题目 解析 更好,1
老师讲错，很清晰，通俗易懂,老师 讲错 很 清晰 通俗易懂,1
老师说的特别棒！,老师 说 特别 棒,1
很不错的课程,很 不错 课程,1
老师讲得超级棒，系统也非常人性化，就是测试时打字答题会出现闪退的现象。,老师 讲得 超级 棒 系统 非常 人性化 测试 时 打字 答题 会 出现 闪退 现象,1
学到了很多,学到 很多,1
62656,62656,1
真的特别棒！,真的 特别 棒,1
挺好的 讲的挺好的,挺 好 讲 挺 好,1
学到了很多知识！,学到 很多 知识,1
课程非常好,课程 非常 好,1
挺好的 会继续听的,挺 好 会 继续 听,1
老师讲的很好,老师 讲 很 好,1
讲的太好了,讲 太好了,1
讲的很详细，不错,讲 很 详细 不错,1
swasa,swasa,1
课程挺好 的,课程 挺 好,1
挺不错的课,挺不错 课,1
作为翻转课堂，老师的录制非常用心,翻转 课堂 老师 录制 非常 用心,1
收获颇丰，从 视频中可以学到很多,收获 颇丰 视频 中 学到 很多,1
五星好评！！,五星 好评,1
这课好评如潮啊,这课 好评 如潮,1
期末考试加油啊！,期末考试 加油,1
老师辛苦啦！,老师 辛苦,1
老师辛苦啦@ ~ @,老师 辛苦 ~,1
老师辛苦啦！！,老师 辛苦,1
期末考试要来了啊！,期末考试 要来,1
希望大家一起分享！,希望 大家 一起 分享,1
谢谢老师分享！！！,谢谢 老师 分享,1
期末考试！！,期末考试,1
谢谢老师！！！,谢谢 老师,1
马上要期末考试了，欸,马上 期末考试 欸,1
老师辛苦啦,老师 辛苦,1
谢谢老师！！！,谢谢 老师,1
这课讲的真好,这课 讲 真好,1
学到了！！谢谢！,学到 谢谢,1
谢谢分享！,谢谢 分享,1
五星好评！！,五星 好评,1
徐老师辛苦啦,徐 老师 辛苦,1
讲得真好，谢谢老师,讲得 真好 谢谢 老师,1
老师辛苦了,老师 辛苦,1
感觉声音模模糊糊的,感觉 声音 模模糊糊,1
讲的不错A,讲 不错 A,1
老师辛苦啦,老师 辛苦,1
讲得还行吧,讲得 还行,1
谢谢老师·,谢谢 老师,1
老师讲得真好,老师 讲得 真好,1
谢谢老师！~,谢谢 老师 ~,1
老师辛苦啦,老师 辛苦,1
不知道怎么说，还行吧,不 知道 说 还行,1
学到了学到了,学到 学到,1
谢谢老师，辛苦啦,谢谢 老师 辛苦,1
老师课讲得很棒,老师 课讲 很棒,1
希望自己期末有个好成绩,希望 期末 有个 好 成绩,1
学到了。。。,学到,1
谢谢老师的授课,谢谢 老师 授课,1
老师讲得真好,老师 讲得 真好,1
谢谢老师。,谢谢 老师,1
老师知识点讲的很细,老师 知识点 讲 很细,1
谢谢老师~~~,谢谢 老师 ~ ~ ~,1
网课真是教育界的一大进步,网课 真是 教育界 一大 进步,1
谢谢老师，辛苦啦,谢谢 老师 辛苦,1
老师讲的很棒哦,老师 讲 很棒,1
谢谢老师！！！,谢谢 老师,1
谢谢老师的分享,谢谢 老师 分享,1
老师课讲的很好,老师 课讲 很 好,1
操作系统好复杂啊,操作系统 好 复杂,1
徐老师辛苦了，订阅了,徐 老师 辛苦 订阅,1
受益匪浅！,受益匪浅,1
老师讲得真好,老师 讲得 真好,1
老师辛苦了！！,老师 辛苦,1
这封面P的不错,封面 P 不错,1
我们南邮的老师就是优秀,南邮 老师 优秀,1
一直很喜欢老师的课,很 喜欢 老师 课,1
谢谢老师，辛苦了,谢谢 老师 辛苦,1
好课，收藏了,好课 收藏,1
我其实还有很多地方感觉没讲清楚,其实 很多 地方 感觉 没 讲清楚,1
很喜欢操作系统这门课,很 喜欢 操作系统 这门 课,1
一直对操作系统很感兴趣,操作系统 很感兴趣,1
我很喜欢老师的课,很 喜欢 老师 课,1
老师辛苦啊,老师 辛苦,1
老师注意身体啊,老师 注意 身体,1
讲的很棒！！,讲 很棒,1
讲的很好。,讲 很 好,1
辛苦了老师,辛苦 老师,1
讲的真的好,讲 真的 好,1
徐老师辛苦了,徐 老师 辛苦,1
听君一席话，胜读十年书,听君 一席话 胜读十年书,1
老师辛苦了,老师 辛苦,1
老师讲课讲的很好,老师 讲课 讲 很 好,1
我不想做从前的自己,不想 做 从前,1
学好很多知识,学好 很多 知识,1
学到真东西了,学到 真 东西,1
很有意思的课，多多支持,很 有意思 课 多多 支持,1
很有意思的课,很 有意思 课,1
内容充实！！,内容 充实,1
很棒的内容,很棒 内容,1
课讲的很好,课讲 很 好,1
很优秀的授课,很 优秀 授课,1
又来补课了，听说很好,补课 听说 很 好,1
又来补课了。,补课,1
很优秀的网络授课,很 优秀 网络 授课,1
好课啊，继续努力,好课 继续 努力,1
要是例题在多讲解一些就好了,例题 讲解 好,1
真是良心课程啊，老师一版一版的不断更新，讲得也不照本宣科，好听好学！,真是 良心 课程 老师 一版 一版 不断更新 讲得 不 照本宣科 好听 好学,1
很好，非常棒，我喜欢,很 好 非常 棒 喜欢,1
收获很多，感谢老师,收获 很多 感谢 老师,1
真的很好啊,真的 很 好,1
我觉得老师讲的非常好，备课很充分，这门课程很有诚意。,觉得 老师 讲 非常 好 备课 很 充分 这门 课程 很 诚意,1
老师讲的耐心、细致，让我收获很多，辛苦了。,老师 讲 耐心 细致 收获 很多 辛苦,1
讲得很好，主题清晰，通俗易懂！,讲得 很 好 主题 清晰 通俗易懂,1
视频流畅，讲解到位,视频 流畅 讲解 到位,1
通过老师的讲授，让我受益匪浅。,老师 讲授 受益匪浅,1
非常棒，收益良多,非常 棒 收益 良多,1
还可以 可以看下,还 看 下,1
挺好的，老师讲的很认真,挺 好 老师 讲 很 认真,1
特别棒的课程,特别 棒 课程,1
更加理解内容,更加 理解内容,1
细致全面哦,细致 全面,1
很好，老师讲的不错,很 好 老师 讲 不错,1
很满意。讲的很细致。,很 满意 讲 很 细致,1
老师讲解细致,老师 讲解 细致,1
该课程很棒，给我很大的启发,课程 很棒 很大 启发,1
不错，是我听过的最好的,不错 听 最好,1
内容简洁明了,内容 简洁明了,1
十分有意义,十分 意义,1
老师讲的很好，重点明确，详略有当,老师 讲 很 好 重点 明确 详略,1
补充了课堂内容,补充 课堂 内容,1
说实话，课程的确不是太好,说实话 课程 的确 不是太好,1
课程非常不错,课程 非常 不错,1
网上学习有很大的好处,网上 学习 很大 好处,1
基本啥都没学会,基本 都 没 学会,1
好难啊！！！,好难,1
对我这个初学者很友好,初学者 很 友好,1
讲课思路清晰，实例也比较贴切。,讲课 思路清晰 实例 比较 贴切,1
课程非常不错!,课程 非常 不错 !,1
提前学习!!,提前 学习 ! !,1
课程很不错，但感觉对于初学者有些难了,课程 很 不错 感觉 初学者 难,1
形式很好!,形式 很 好 !,1
老师讲得很棒，很耐心,老师 讲得 很棒 很 耐心,1
蛮好的！！,蛮 好,1
重新学习一遍,重新学习 一遍,1
入门还是不错的,入门 不错,1
深入浅出，形象生动。,深入浅出 形象 生动,1
老师您辛苦了,老师 辛苦,1
感谢老师!,感谢 老师 !,1
超级喜欢这种教学模式,超级 喜欢 这种 教学模式,1
就靠你过补考了,补考,1
打好基础！加油！,打好 基础 加油,1
老师讲得非常清楚、详细,老师 讲得 非常 清楚 详细,1
课程真的是太棒了,课程 真的 太棒了,1
清晰易懂！！！！！！,清晰 易懂,1
讲述得非常好！,讲述 非常 好,1
老师讲的都蛮详细的,老师 讲 都 蛮 详细,1
老师讲得很好,老师 讲得 很 好,1
老师讲的很详细,老师 讲 很 详细,1
老师很专业，推荐大家学习！,老师 很 专业 推荐 大家 学习,1
强烈推荐！,强烈推荐,1
跟上时代的步伐,跟上 时代 步伐,1
很想学这么课,很 想学 课,1
看不了啊咋回事,看 不了 回事,1
课程很有意思,课程 很 有意思,1
非常不错学到了,非常 不错 学到,1
棒，老师很棒,棒 老师 很棒,1
这门课非常好,这门 课 非常 好,1
内容很多，讲的也很细致,内容 很多 讲 很 细致,1
挺好的，讲的不错,挺 好 讲 不错,1
课很全，我很喜欢,课 很 全 很 喜欢,1
视频讲解可以自学,视频 讲解 自学,1
课程都是以前录的吧,课程 都 以前 录,1
不错。。。。。,不错,1
老师讲得非常通俗易懂,老师 讲得 非常 通俗易懂,1
老师讲课深入浅出，例子浅显易懂,老师 讲课 深入浅出 例子 浅显易懂,1
精品课程，值得推荐,精品课程 值得 推荐,1
深入浅出.,深入浅出,1
超级棒，点赞,超级 棒 点赞,1
内容很不错，收获很多,内容 很 不错 收获 很多,1
巩固了基础知识,巩固 基础知识,1
非常不错推荐,非常 不错 推荐,1
非常感谢老师,非常感谢 老师,1
视频讲解非常详细,视频 讲解 非常 详细,1
重点明确，讲的清楚,重点 明确 讲 清楚,1
课程整体还不错,课程 整体 还 不错,1
讲的很细，很全面,讲 很细 很 全面,1
非常有收获。,非常 收获,1
生动有趣。。,生动有趣,1
很喜欢该门课授课方式,很 喜欢 该门 课 授课 方式,1
还不错。。,还 不错,1
好课好课！！,好课 好 课,1
很多疑问都得到了解答,很多 疑问 都 得到 解答,1
真的很感谢这门课程,真的 很 感谢 这门 课程,1
最棒得课程！,最棒 课程,1
讲的很好啊，为什么说不行啊,讲 很 好 说 不行,1
路过 路过,路过 路过,1
很好的课。推荐,很 好 课 推荐,1
徐老师学生前来报到,徐 老师 学生 前来 报到,1
好课。就是内容有点旧,好课 内容 有点 旧,1
很有意思的课,很 有意思 课,1
66666666666,66666666666,1
有新意，很好的课,新意 很 好 课,1
还行还行还行,还行 还行 还行,1
本科上过这个老师的课，超级棒,本科 上 老师 课 超级 棒,1
这老师那个学校的啊,老师 学校,1
讲的很细致,讲 很 细致,1
听课听困了,听课 听困,1
我觉得讲的很好啊,觉得 讲 很 好,1
哈哈哈哈哈,哈哈哈,1
我觉得不行,觉得 不行,1
就那样吧。,,1
好评好评好评,好评 好评 好评,1
老师授课有条理，有重点,老师 授课 有条理 重点,1
老师讲的很好,老师 讲 很 好,1
很有趣的课,很 有趣 课,1
小师姐牛逼,小 师姐 牛 逼,1
真是温柔的人啊,真是 温柔 人,1
好课，收藏了,好课 收藏,1
这老师没有其他课吗,老师 没有 课,1
good!,good !,1
小师姐天下第一,小 师姐 天下第一,1
感觉很不错，就是读ppt少点就好了,感觉 很 不错 读 ppt 少点 好,1
很好的老师,很 好 老师,1
很多地方我还是听不懂,很多 地方 听不懂,1
很好很好很好,很 好 很 好 很 好,1
还行吧，至少比我们学校老师讲得好,还行 至少 学校 老师 讲得 好,1
特效做的不错，哈哈哈,特效 做 不错 哈哈哈,1
女朋友推荐来的,女朋友 推荐,1
翻翻评论，感觉大家的评价都不错啊,翻翻 评论 感觉 大家 评价 都 不错,1
卢本伟牛逼,卢本伟 牛 逼,1
慕名而来。。,慕名而来,1
看着不困，就是好课,看着 不困 好课,1
我听了前几章，觉得还不错，等我全部听完再来评价,听 前 几章 觉得 还 不错 全部 听完 再 评价,1
辛苦啊了~,辛苦 ~,1
是我太笨了吗，感觉很多东西我还是听不懂,是我太 笨 感觉 很多 东西 听不懂,1
这老师好眼熟啊,老师 好 眼熟,1
觉得讲的不错,觉得 讲 不错,1
我觉得一般啊,觉得,1
我也想做这位老师的学生，感觉这老师很有意思啊,想 做 这位 老师 学生 感觉 老师 很 有意思,1
不错 不错，讲的很细致。,不错 不错 讲 很 细致,1
感觉这老师长的很像我小学校长啊。 不过这课讲的很有趣，哈哈哈。,感觉 老师 长 很 小学校长 这课 讲 很 有趣 哈哈哈,1
这网课是我喜欢的类型。,这网 课 喜欢 类型,1
讲的非常好，辛苦了。,讲 非常 好 辛苦,1
不错不错！！,不错 不错,1
不错，重点很突出，也有条理。,不错 重点 很 突出 有条理,1
good job,good job,1
这个课程好！,课程 好,1
讲的很好，简单易懂,讲 很 好 简单 易懂,1
讲课老师真的好棒！！,讲课 老师 真的 好棒,1
非常实用，非常全面,非常 实用 非常 全面,1
不错的课，讲的很详细,不错 课 讲 很 详细,1
讲得蛮通俗易懂！,讲得 蛮 通俗易懂,1
讲的很棒！,讲 很棒,1
课程很精彩,课程 很 精彩,1
非常好，我会继续加油,非常 好 我会 继续 加油,1
还不错！！,还 不错,1
老师讲的很好,老师 讲 很 好,1
老师讲的特别好,老师 讲 特别 好,1
讲的非常好,讲 非常 好,1
老师讲的很好啊，ppt课件也很不错,老师 讲 很 好 ppt 课件 很 不错,1
打call,打call,1
老师讲的很好，就是有的节没有声音,老师 讲 很 好 节 没有 声音,1
太棒了。感谢。学到很多。,太棒了 感谢 学到 很多,1
学习这门课让我对操作系统有了更深的理解，让我受益匪浅,学习 这门 课 操作系统 更深 理解 受益匪浅,1
内容非常优秀,内容 非常 优秀,1
我可以重复观看不懂的地方,重复 观 看不懂 地方,1
很好，很受用,很 好 很 受用,1
老师讲的很详细，能听懂,老师 讲 很 详细 听懂,1
很新颖，很不错，真心的,很 新颖 很 不错 真心,1
感谢老师，讲的简单易懂。,感谢 老师 讲 简单 易懂,1
老师讲的非常通俗易懂，期待下一次开课,老师 讲 非常 通俗易懂 期待 下 一次 开课,1
好 老师耐心仔细 思路清晰,好 老师 耐心 仔细 思路清晰,1
good本班,good 本班,1
简单易懂，,简单 易懂,1
老师讲的很清楚，学起来感觉比较轻松易懂。,老师 讲 很 清楚 学 起来 感觉 比较 轻松 易懂,1
学习操作系统的基本知识可以帮助我们更容易掌握其它计算机相关技能,学习 操作系统 基本知识 帮助 更 容易 掌握 计算机相关 技能,1
讲的很好，比成电的那门LINUX操作系统好多了,讲 很 好 成电 那门 LINUX 操作系统 好多,1
很好，非常好。。,很 好 非常 好,1
老师讲得很具体,老师 讲得 很 具体,1
老师讲的很清楚，非常不错,老师 讲 很 清楚 非常 不错,1
