Comment,cut_comment,knn_sentiment
老师们教的很好！,老师 教 很 好,1
很喜欢李老师的课，只有一个小小的建议，就是有时候李老师在学校课堂的讲课视频，会经常出现没有声音的情况，希望注意一下，谢谢,很 喜欢 李老师 课 小小的 建议 有时候 李老师 学校 课堂 讲课 视频 会 经常出现 没有 声音 情况 希望 注意 一下 谢谢,1
很棒，很有用,很棒 很 有用,1
very good,very good,1
很好，很棒,很 好 很棒,1
.......,.......,1
6666666666666,6666666666666,1
觉得知识很有用,觉得 知识 很 有用,1
视频课件非常齐全，讨论区的问题也对学习很有帮助,视频 课件 非常 齐全 讨论区 问题 学习 很 帮助,1
很不错，希望下次能讲的多点,很 不错 希望 下次 讲 多点,1
哇！挺好的,挺 好,1
真的讲的特别特别好，形象生动,真的 讲 特别 特别 好 形象 生动,1
能够很好理解知识点,能够 很 好 理解 知识点,1
老师讲的很好,老师 讲 很 好,1
老师讲得很不错，能学到很多知识。,老师 讲得 很 不错 学到 很多 知识,1
李老师有针对性的讲解让我更快地入门了操作系统，为以后的学习打下了基础。,李老师 针对性 讲解 更快 入门 操作系统 以后 学习 打下 基础,1
课程讲解详细又有针对性，内容充实，受益匪浅,课程 讲解 详细 针对性 内容 充实 受益匪浅,1
非常好嗯嗯,非常 好,1
太生硬，感觉就是把内容讲完就完成任务了，愧对国家精品,太 生硬 感觉 内容 讲完 完成 任务 愧对 国家精品,1
老师讲的很好，很适合入门,老师 讲 很 好 很 适合 入门,1
这个课真的很好！！老师讲课的思路很清晰,课 真的 很 好 老师 讲课 思路 很 清晰,1
考研要考操作系统看的，老师回答问题很及时，讲的也很细致！,考研 要考 操作系统 看 老师 回答 问题 很 及时 讲 很 细致,1
内容丰富，深入简出，连我这样的计算机小白也能听懂，挺好的。,内容丰富 深入 简出 计算机 小白 听懂 挺 好,1
课程内容很全面，整体结构安排很合理，很适合初学者学习，能学到很多知识,课程内容 很 全面 整体 结构 安排 很 合理 很 适合 初学者 学习 学到 很多 知识,1
内容很全面，知识点讲述很清晰，对初学者很友好，推荐初学者选择这门课,内容 很 全面 知识点 讲述 很 清晰 初学者 很 友好 推荐 初学者 选择 这门 课,1
每次听李老师操作系统的课，都有豁然开朗的感觉，对于操作系统课程内容的理解也更深刻，非常喜欢听李老师的操作系统课程~,每次 听 李老师 操作系统 课 都 豁然开朗 感觉 操作系统 课程内容 理解 更 深刻 非常 喜欢 听 李老师 操作系统 课程 ~,1
老师讲述的操作系统还是很容易理解的，经常把很抽象的问题形象化，让我们容易记住知识点。,老师 讲述 操作系统 很 容易 理解 经常 很 抽象 问题 形象化 容易 记住 知识点,1
不错，挺好的,不错 挺 好,1
内容真的很好，就是两位男老师的口音太重了，而且还不配字幕，有些地方的意思得靠自己猜。,内容 真的 很 好 两位 男 老师 口音 太重 还 不配 字幕 地方 意思 猜,1
讲的挺好的,讲 挺 好,1
讲的很仔细，很棒,讲 很 仔细 很棒,1
老师讲的非常好，操作系统讲的十分通俗易懂，推荐大家学习！,老师 讲 非常 好 操作系统 讲 十分 通俗易懂 推荐 大家 学习,1
谢谢老师带来这么好的课程，期待老师带来更多更好的课程！,谢谢 老师 带来 好 课程 期待 老师 带来 更多更好 课程,1
无0000,无 0000,1
很好的课程,很 好 课程,1
有很大的提高。,很大 提高,1
李老师认真负责，课程深入浅出，值得学习,李老师 认真负责 课程 深入浅出 值得 学习,1
水平高，实战经验强，一听就能听得出来,水平 高 实战经验 强 一听 听得出来,1
课程内容很丰富,课程内容 很 丰富,1
老师说的还可以，比较有条理，=0=,老师 说 还 比较 有条理 0,1
哇！超出预期了,超出 预期,1
学会了很多知识！,学会 很多 知识,1
课程内容很好，讲解非常详细，课后习题对我们帮助也很大，非常好的一门课程，推荐给大家,课程内容 很 好 讲解 非常 详细 课后 习题 帮助 很大 非常 好 一门 课程 推荐 大家,1
非常好!!!,非常 好 ! ! !,1
学习使我快乐,学习 使 快乐,1
课程听起来很好，很容易理解,课程 听 起来 很 好 很 容易 理解,1
ssssssssssssssssss,ssssssssssssssssss,1
挺好的，希望越来越给力,挺 好 希望 越来越 给力,1
学到了很多知识,学到 很多 知识,1
很棒，讲解很生动详细,很棒 讲解 很 生动 详细,1
清晰明了！,清晰 明,1
henhao feichanghao,henhao feichanghao,1
课程制作不错，作业能否优化下，目前完成难度太大，录制的课堂教学有点粗糙，影响对课程评价。,课程 制作 不错 作业 能否 优化 下 目前 完成 难度 太大 录制 课堂教学 有点 粗糙 影响 课程 评价,1
好好好好好,好好 好好 好,1
老师讲的条理清晰，也很仔细,老师 讲 条理清晰 很 仔细,1
老师超棒的 好吗 很负责 平时上课的重点视频都给了 满分好评！,老师 超棒 好 很 负责 平时 上课 重点 视频 都 满分 好评,1
李老师的课程内容翔实，讲解清晰，逻辑调理，非常好评。,李老师 课程内容 翔实 讲解 清晰 逻辑 调理 非常 好评,1
非常好，非常好！感觉比南大的好，谢谢老师！,非常 好 非常 好 感觉 南大 好 谢谢 老师,1
很好....,很 好 ....,1
还是不错的,不错,1
好的一批 666,好 一批 666,1
超级棒，讲的挺仔细的，课程内容比较多,超级 棒 讲 挺 仔细 课程内容 比较,1
习题的题目有点难 不过老师讲的很细致,习题 题目 有点 难 老师 讲 很 细致,1
李老师讲解非常生动！,李老师 讲解 非常 生动,1
老师讲得很好！,老师 讲得 很 好,1
讲的很好，,讲 很 好,1
还可以~~~,还 ~ ~ ~,1
还可以~~~,还 ~ ~ ~,1
老师的苏普那么可爱。。。。,老师 苏普 可爱,1
非常的好啊,非常 好,1
课程都认真听了,课程 都 认真 听,1
听的太费劲了,听 太 费劲,1
李培锋和吕强老师讲的很好，很喜欢很动人,李培锋 吕强 老师 讲 很 好 很 喜欢 很 动人,1
老师讲课有重点，举的例子也有效加深理解,老师 讲课 重点 举 例子 有效 加深 理解,1
老师讲的很好,老师 讲 很 好,1
66666666666666,66666666666666,1
这个课非常好,课 非常 好,1
比较好，感觉适合我,比较 好 感觉 适合,1
讲得还是很好的,讲得 很 好,1
老师讲的很细致,老师 讲 很 细致,1
内容可以更丰富一些,内容 更 丰富,1
超级好，强烈推荐,超级 好 强烈推荐,1
加油，加油，加油，NLP,加油 加油 加油 NLP,1
帮助很大，对于学习黑书！,帮助 很大 学习 黑书,1
非常非常好！,非常 非常 好,1
很大充实了我现有的知识,很大 充实 现有 知识,1
老师讲的课很好，我很喜欢,老师 讲 课 很 好 很 喜欢,1
讲的清楚明白，可以讨论问题，每节小测每章小测都巩固了知识,讲 清楚 明白 讨论 问题 每节 小测 每章 小测 都 巩固 知识,1
学习了，留个脚印！,学习 留个 脚印,1
真的很不错,真的 很 不错,1
老师们讲课很认真，受益匪浅。,老师 讲课 很 认真 受益匪浅,1
老师真的太棒了，回答问题非常认真，上课内容真正意义上的深入浅出，令人受益匪浅。,老师 真的 太棒了 回答 问题 非常 认真 上课 内容 真正 意义 上 深入浅出 令人 受益匪浅,1
讲得太简单太不清楚,讲得 太 简单 太 不 清楚,1
老师讲解清晰，流畅，很精彩,老师 讲解 清晰 流畅 很 精彩,1
老师讲解清晰，流畅，很精彩,老师 讲解 清晰 流畅 很 精彩,1
好，希望能有一些实战类的作业,好 希望 实战 类 作业,1
很好很好很好很好,很 好 很 好 很 好 很 好,1
还行，不错的,还行 不错,1
非常的非常的好,非常 非常 好,1
老师的普通话真的有待提高.............................,老师 普通话 真的 有待 提高 .............................,1
''''',,1
比较好，适合入门的选手~,比较 好 适合 入门 选手 ~,1
可以的，就是感觉讲的不够细,感觉 讲 不够 细,1
有些视频比较老，风格不统一,视频 比较 老 风格 不 统一,1
这个是参考哪本书的操作系统，有知道的朋友吗？,参考 本书 操作系统 知道 朋友,1
夯实基础！,夯实 基础,1
效果感觉比上课好 哈哈,效果 感觉 上课 好,1
提交提到时候为什么老是出现系统错误,提交 提到 老是 出现 系统 错误,1
很好感觉很有用,很 好 感觉 很 有用,1
