content,sentiment
真的是不敢苟同，完完全全直接念课本,0
老师讲解清晰明了，上课的互动性比较强。,1
不懂不要乱评论，老师绝对不是简单念ppt，能把课程重新组织成这个内容就是牛。佩服主讲骆斌教授。,1
老师讲的很清楚，上课没有听懂的地方听一下MOOC就会豁然开朗。,1
老师讲解很用心,1
很好老师讲的很细致,1
可以侧重点突出一下，不然后面不知道那些会有用到。,0
学有所用，学有所获,1
两位老师都很好，深入浅出的讲解，很容易理解，谢谢两位老师！！,1
课程讲解清晰，通俗易懂,1
老师讲课清晰易懂，非常好,1
垃圾，照本宣科念需要你干嘛，可悲的是中国大学的很多老师也是这样！,0
内容充实很适合我的学习,1
很不错的一款软件，各种学习的资源多，免费，自学的必备App,1
上学期的必修课，拖到了这学期来慕课看视频我的求生欲也是很强了…,0
太棒啦，学到了许多知识,1
课程难度适中，内容凝练，适合非计算机专业自学。,1
对学习很有帮助,1
很好的一门课，边看边读《现代操作系统》,1
内容丰富，讲的很好,1
老师讲的非常好。解答非常耐心,1
很好，易于理解,1
非常有启发,1
老师讲解详细，非常值得推荐的课程。,1
我相信授课老师有相当的水平，课程结构上也有科学的组织，但是！！！这真的是我听过最烂的课之一！！南大计算机系的老师竟然让我感觉是一个大一学生在汇报大作业的感觉...,0
课程体验感非常好，老师讲课知识点清晰，富有深度，重难点悉心讲解，通俗易懂。,1
课程安排合理，题目难度适合，老师讲的特别细致，很棒！,1
老师的课程非常系统全面，课件逻辑清晰，知识的讲解深浅得当，让我受益匪浅，沉迷其中！,1
感谢李治军老师的讲解！！！听完老师的课再去看书会轻松不少，老师描绘出了操作系统的一个框架,1
还可以，感觉还不错,1
这门课是真的不错，很有效率地获取知识,1
ppt老师,0
体验感很nice,1
可以在上课前自己提前学习，上课的时候更加容易理解。,1
很不错的课程，讲的很详细,1
我主讲linux基础已有4年了。今年疫情线上开课，想给学生们找一个通俗易懂，思路清晰，篇章结构合理，难易适中得慕课让同学们学习，就在中国大学慕课上看到了庄老师团队主讲的linux基础。本课程主讲老师讲解清晰，举例得当，精炼易学。就把这门课作为我们班的辅助课程。同学们的反应也非常好，很渴望庄老师团队有时间给我们主讲一次线上课，给同学们鼓励一下。,1
很喜欢这种方式,1
感觉课程比较抽象，理论概念东西较多,1
能找到的资源里面最棒的了，感谢老师，感谢浙大。。,1
老师教学仔细，受益匪浅,1
已经完成期末考试，是老师们很用心准备的课程，是很好的课程：老师的声音好听，配合ＰＰＴ简洁的讲解了重点；教材很容易理解，不会像看严蔚敏的经典教材那么头晕犯困；课后测验和编程题的难度和分量也合适；考试也主要是考基本概念理解、画图演示算法过程。适合于普通大学生、文科大学生、自学者。不过拿优秀证书很难，要90分，我估计在86分左右。（高水平的同学，建议浙江大学的数据结构，我只拿了67分的合格证书）。,1
老师讲的棒，而且视频可以重复观看，给点赞,1
老师辛苦啦！,1
刚听第一节课就喜欢上老师的课了，说真的，如此高质量的课太少了。,1
陈老师的课一如既往的好，以例子来讲解数据结构的知识点，让我们能更好的理解数据结构的难点。,1
讲的知识很全面,1
老师，可以去掉那个背景音乐吗，这个音乐大大分散了我们听课的注意力，而且它还有点丧，听着很不舒服,0
学会了很多东西。,1
与课本内容紧扣，概念讲解清晰,1
知道了整体的数据结构模块，对数据的存储和操作有了更多的认识,1
有点难，希望能够完成这门课,1
非常好，受益颇深,1
听的有些晕，希望老师讲解节奏慢一点,0
老师教的很好，很仔细，就是OJ系统令人迷惑，能更新一些常用功能就好了,0
老师讲课条理清晰，生动形象，语速适合，语言铿将有力，特别特别适合我,1
能学习到很多相关的网络知识，这是一门非常有用的知识,1
希望能有个群来解答问题就更好了,1
对新手友好，超赞,1
质量没的说，pta也很好用,1
深度有待提高,1
学习了操作系统的一些知识,1
真不戳真不戳,1
非常好祝我考上理想院校,1
讲得很精彩,1
真的第一次喜欢上MOOC，大爱蒲老师的课，希望能考上电子科大，能上蒲老师的课，哈哈。,1
这个讲的非常好,1
"听不清,可能年龄高了之后说话开始音调高,结尾近乎耳语,但是这结尾的几句听不清很影响理解.",1
内容很不好，但是还没有看完，现在系统异常请及时处理技术问题,0
好的很，很不错,1
好，特别好,1
能不能早点开课。我假期时间多，开学时间就少了。,0
老师你好，本次课程结束后能不能不关闭查看，这两天正在学习，怕来在课程结束前来不及学完。,0
很棒，很不错,1
很好的一门课，C实现的还没来得及细细研究，回头补上,1
什么都没有,0
普及十分到位,1
还可以吧，希望作业再多点,1
浦老师的讲课生动形象，易于理解，非常赞。,1
非常nice的一门课！,1
很棒，赞，太爱了,1
该课程内容丰富，老师知识点讲解到位,1
课程很棒，课后习题有点难,1
棒棒哒！,1
好，讲的还行,1
徐老师辛苦了，订阅了,1
方便快捷，界面整洁,1
这门课程非常好,1
说实话，我简直太喜欢这门课程了。真正诠释了计算机教育的精髓！不愧是哈工大CS课程里质量最高的！,1
作为预习超棒的,1
要是寒假也可以看就好了掌握得不够,1
苏老师讲课讲的很好！ppt也做的好，通俗易懂。苏老师私下也很温柔，很和蔼，超级好老师~,1
非常的好哦,1
老师讲解知识点时整个句子有部分用词的发音轻了听不清楚,0
特别好，优秀,1
好非常好教的,1
这门课程非常好，老师讲解的通俗易懂，让我们学起来十分轻松。,1
真棒！,1
讲的挺好的，，还提供了翻译参考书,1
老师善于从生活中的例子出发启发学生思考，能够帮助学生更好地理解操作系统概念,1
课程内容丰富全面，讲解细节到位。,1
就这？,0
老师授课讲解清晰,1
可以再细节一点,0
课程非常棒,1
内容很全面，题目很广泛，课程很有意思..,1
感觉到了学习的快乐,1
老师十分认真，讲的也很透彻，谢谢老师教导,1
老师讲的非常好，很容易听懂,1
老师讲的很好，讲的完全够我们这些上课不听课的孩子学了。,1
还可以不错,1
终于找到了用python讲的课程，老师讲的很清晰，由浅入深，学习到了很多,1
课程学习充实,1
挺好的，主要可以重复看还可以调节倍速，适合我的学习模式,1
我觉得很好,1
"田老师讲的很好,深入浅出。特别是PPT采用英文和中文结合的方式，让我收获颇丰。感谢田老师的讲授，也让我们这些双非的学生也能享受优质的教学资源。最后再次感谢田老师的讲授。",1
很不错的课程，老师讲的也很清晰。,1
课件去哪里了，app不可以看吗？,0
很好，让我学到了很多。,1
老师讲的具体，通俗易懂,1
老师讲的太好了！,1
课程组织由浅入深，循循善诱，不废话，重实操，老师讲解清晰易懂，2倍数食用生龙活虎，健胃消食，纵享丝滑....实属补脑精品。筒子们，如果你是Linux系统小白，坚持下来，你走不上人生巅峰，你会感觉还不错，你会多了Linux这个朋友。独学而无友则孤陋寡闻，还可以加入课程群大家一起交流哈,1
了解了计算机的相关知识,1
很好，很耐心,1
清晰明了！,1
挺难的说实话,1
拓展了我的视野,1
何钦铭教授和陈越教授真的太棒了，把数据结构讲得好清楚。自学星汪表示：课本里面课后非编程类的习题要是有答案的话就更好了。希望能有更多的习题可以用来练习巩固知识。,1
挺好的内容讲的挺详细,1
内容超丰富,1
还行吧，课挺全的,1
老师讲的很好！特别是刘艳君老师,1
老师讲的非常到位，理解起来非常快。很多不懂的问题在讨论区都可以得到解答，在实际应用上学会了linux操作系统的基本使用过程，对自己的学业有着较大的帮助。,1
之前大学没好好学这门课程，现在才发现这门课程的重要性。一定要好好学完！,1
非常好，很有意思,1
有的概念没有很好的解释清楚比如渐近性理论，云里雾里的,0
老师讲的很好，内容简单，课程轻松,1
妙啊，讲得不错,1
讲得很好啊,1
试题难度够，讲解明了,1
老师讲课很仔细，带我入门数据结构，感恩,1
老师的具体很贴切,1
深入浅出，值得推荐,1
妈耶这老师PPT念的真6,0
这个软件很棒,1
老师讲的挺好！,1
老师教的非常好,1
好，非常好，十分好,1
希望可以最后给出每个视频后的问题的答案，以便确定自己是否作对,1
老师讲的特别好，内容特别充实，也十分生动有趣，超级赞！,1
讲的非常简练，加上习题基本可以快速掌握数据结构的知识,1
我会加油的，有这么优秀的老师教我加油,1
老师棒棒的,1
周老师辛苦了，讲的特别好，声音也跟耐听,1
很可以的课程适合初学者或者刚刚接触的同学,1
很好很好很好很好,1
这个课程的老师是我比较喜欢的了,1
老师，开课呀，现在对知识的渴望地球都装不下了,1
真心不错棒！！,1
背景音乐比人声音大,0
"老师讲课很清晰易懂,非常不错",1
内容有点太少了,0
老师授课认真内容丰富,1
讲课内容详细,1
有课程有试验，非常好,1
今年授课方式采取了传统模式教学和网络教学相结合的方法，很新颖，效果显著,1
从这里开始学知识！,1
太好了，十分有帮助,1
内容讲解详细，与图片相结合通俗易懂,1
深入浅出，太合适初学者了。,1
老师教的很好！,1
课程非常好，老师讲课我也很喜欢，希望多开设课程，学习到了很多知识。,1
这个老师是我见过讲操作系统讲的最好的老师了,1
老师讲的很好呀，只不过我上的有点晚，最后的期末考试赶不上了,1
雷老师的讲解非常细致，很喜欢雷老师,1
很棒的一门课程,1
这是自己第一门在mocc上获得的证书，希望今后能继续在慕课上学习下去！,1
课程很棒！,1
受益良多好评,1
真的讲的好。老师还有别的课程吗？,1
温馨提醒：0.5倍观看，最适宜。老师好看，说话又好听，内容层次清晰，很棒的，请老师收下我的膝盖,1
说得很好，学会了很多,1
请问，代码从哪里下载，能找到的给的地址都下载不了了。,1
还可以，不过那个随堂测试没有解析,0
感觉听起来很费劲应该是mooc上比较难学的课程吧讲的不是很清楚,0
庄老师讲得很好！非常适合零基础的学生学习。,1
从基础说起，正适合新手,1
又有错题，程序=算法+数据结构，程序是什么都不知道,1
老师讲的很好了是我自己笨嘤嘤嘤,1
我本科要是有这么个网课给我看，还有你们竞赛得奖的份吗！？,1
但是为什么每个视频末尾处都会卡好久?别的学校课程没这个现象啊。,0
授课方式挺好的,1
老师的课讲得非常好。,1
很好，老师讲的不错,1
水平高，实战经验强，一听就能听得出来,1
有些视频比较老，风格不统一,0
补充了一些上课没有讲到的内容，很有用,1
不愧是电大，属实厉害,1
非常喜欢老师的课，收益颇丰,1
没有含金量,0
课程牛逼！,1
老师讲的知识点很详细受益颇多,1
老师讲课很生动，内容很充实,1
课程很棒，下次再来,1
感受非常好,1
太棒了，内容详实，老师讲的仔细,1
课程内容挺好的,1
老师讲的挺好，让我收获良多,1
便于课后复习整理,1
学到了，真好,1
唯有学习方知不足。,1
照着ppt念有什么意思？我又不是不识字,0
老师知识点讲的清晰易懂，但是不足的是希望课件更新可以与时俱进，如将FAT06更改为主流的FAT32，如果能更新一些如NTFS的学习方向就更好了。,1
非常棒，内容很丰富,1
开始时一周一节，配合练习题效果极好，可是后来因为时间不够，匆匆2天看完剩下8章，只记得概念，完全不会实操，匆匆考试只拿了70，编程题一脸懵逼，只好继续踏踏实实做题,1
能够学习应用到的知识,1
课程内容很详细，老师能够学生能够理解的方式，向同学们展示和讲解，真的是一个很用心的课程！,1
很棒，希望画质高一点！,1
讲得非常好，比那个国家精品好多了,1
学习到了操作系统，通俗易懂，好评好评,1
很喜欢前几章的女老师，讲课非常生动形象，有助于理解,1
相对其他课程，这老师授课方式比较专业和正式,1
特别清楚，内容详实，听过最棒的课,1
课程设置合理，老师讲解清楚。总之非常好,1
很好，会继续努力的,1
棒棒哒，老师讲的好有趣,1
非常不错，学习到了很多,1
老师们讲的都很好，作业也布置的很贴切。,1
学会了用数据结构解决实际问题,1
讲的深入浅出,1
这才是我期待的国家精品课，老师讲的真的很好啊,1
授课方式新颖，老师也很有耐心,1
课程安排很合理，老师讲的也很好,1
老师，可以放开权限让我能够看到之前的几次开课,0
老师你声音再低一点我就听不清了。还有讲的都是PPT，无奈。还有喷麦我也是听着挺难受,0
很棒很不错,1
课程很好，通俗易懂,1
姥姥讲的真好,1
不是很喜欢Linux这门课程,1
理论结合了实际，把计算机这门实践的科学技术讲的比较清楚和生动,1
课程不错，但是有点多,1
课程很好，老师互动也很多，就是视频的课件中偶有错误~,1
内容精湛。,1
耿老师的课程，有一种柳暗花明又一村的感觉，之前的一些生疏知识顿然茅塞已开。,1
内容讲的很详细，但是更希望能够把实现代码展示出来，让学者运行，进行更详细的了解,1
好详细的课，,1
"讲的很清晰,之前看APUE的时候有很多知识点没有理解，通过老师深入的讲解，有了进一步的认识。",1
讲的很基础，不错,1
讲得非常好，PPT非常清晰明了，5星好评,1
收获非常大,1
学到了很多,1
课程讲的很棒,1
这门课看来很受欢迎啊，我也想学，但是我只有python基础，这门课的语言是C吧，怕看不懂。,1
受益良多，perfect,1
老师真的很上心了,1
真的好，太棒了！,1
挺好的，学到许多东西,1
循序渐进，适合入门！,1
很细致，可以重复观看老师讲解的视频和知识点，就很好,1
作为预习的资料还是可以的。课后测验和视频所讲大多数都很匹配，基本是原句了。当然如果要更深入了解，只看视频不够，需要去一个专题一个专题去深究,1
大概懂点点,0
老师教的很好，认真负责。课程内容丰富,1
讲的非常好,1
很好的网站,1
课程很好，但是课后习题什么的没有答案，完全不知道自己哪里错了,0
讲解比较细致能够大概懂,1
很棒，希望能收获更多,1
林老师讲的不好，我听了想睡觉。戴老师讲的很好，我听了想继续刷。,1
给了4种主流语言的讲解，很棒！,1
真的很好啊,1
感受非常棒,1
课程丰富多彩，简单易懂,1
老师讲得深入浅出，枯燥的操作系统原理被讲解得通俗易懂，是非常好的入门课程。老师声音很好听，长得也很漂亮，支持！,1
涛哥推荐的，感觉很是不错，后悔学晚了,1
讲的超级好！,1
很喜欢老师讲课的方式,1
"讲的真的很好,收获非常多",1
提升很大！,1
课程质量很高，老师讲的十分细致,1
老师讲知识特别详细，视野广，一直引导我们如何学好操作系统。讲的内容也比其他课更丰富！偏实践。太感谢老师了，希望这样的课越来越多！,1
这讲的都是什么玩意，照着ppt念，连个实例都不给，背景音乐听到头疼,0
操作系统对不不少同学难学，本课程知识讲解与授课内容非常详实、具体，有利于初学操作系统者能够理解把握，课程实用，收益良多！谢谢老师的精心准备和讲授！,1
周老师讲得太好了，请问能不能把上课的代码做成一个文档供下载分析。,1
非常好很好,1
该课程的这一节课的理发师进程有问题，因为，若理发师正在给顾客理发，此时又来了顾客，本应rc;但因为理发师给顾客理发前没有v(mutex);故此时顾客会被阻塞于p(mutex);从而不符合实际情况。理发师进程循环内的代码应该为:while(0)｛p(mutex);if(rc!=0),0
课程设置的很好，但是有一些课程听不懂。需要花很多精力找课外资料。,1
因为计算概论的原因，数算一部分内容我们已经学过一次。但是在py语言的表达下变得比c语言更加简单明了，感觉很棒。后面的内容仍有一部分无法理解，尚不明确，还需要多加回味。一学期的课，大作业令我十分难忘，不仅仅是编程方面的知识，而是在讨论方面给了我很大启发。游戏开发也是一个道理，使我更加重视讨论与磨合的重要性。,1
不够吸引人，略显无趣,0
这个老师教学方式我很喜欢，他讲的课程，我基本上都能听的明白。,1
哦看看很好,1
重点明确，讲的清楚,1
老师讲解很耐心，知识点设计紧凑，上课娓娓道来，如春风细雨，就我而言，在轻松的听课时光中汲取了大量操作系统知识。,1
老师讲的很仔细，感觉学习氛围很好，也是一门非常有用的课程，加油,1
特别的好，超出了预期！,1
确实不错呀,1
部分课程偏难,0
老师讲的非常好，希望这次自己能坚持下去,1
教学环节清楚，安排合理，衔接紧密，老师耐心且亲切，能对学生不懂的知识点反复讲解，力求化繁为简，让我感觉学习也是一件快乐的事。,1
今天没下雨，差评！,0
学到真东西了,1
讲的很清晰，还特地在知识点说完时停顿一会，让学生思考，很贴心！,1
讲的就是好，希望浙大可以出更多的视频,1
多了一个复习和预习的渠道。,1
讲解十分清楚,1
非常棒的课，虽然有时候理解的很吃力。,1
肯定是最值得推荐的慕课了，老师讲课生动幽默，作业很丰富，学完收获很多。,1
好，老师很不错,1
感谢平台，感谢老师分享知识,1
内容挺不错的,1
非常不错.学到很多,1
帮助很大，对于学习黑书！,1
很不错真的让人受益匪浅,1
我是华东师范大学软件工程专业的，数据结构课老师讲得一塌糊涂，这边的课比我们学校老师讲的好多了，简直不是一个层次的！,1
授课方式比较好懂课程按照为什么要引入这个概念？这个概念是什么？它的特点是什么？应用场景在哪里？这个思路来进行安排。符合学习逻辑,1
讲的很好，思路很清晰,1
陈姥姥讲课还是稳啊,1
讲解的很细，挺好的,1
操作系统的课程本来就很难学，但是跟着这位老师学习，很多不好理解的概念都能清晰的理解。很喜欢老师讲课的方式，感觉通过这个课程，会很好的学会操作系统,1
可以讲一下代码吗？老师,1
非常好，还是用的C语言讲的，很清晰,1
这是我最爱的一门课，也是让我收获最多的一门课，跟无数人安利过,1
特别喜欢开头的动画，画面很有科技感,1
老师讲的很好，要是能多举一些现实场景实例就好了,1
挺好的，就是测试题挺捞的,0
老师讲的非常的棒,1
非常实用，好玩的一门课，能够学到很多,1
蒲老师课讲得真好，深入浅出，可以看出来真的很用心，不论是视频剪辑还是课件制作都是花了很大的功夫,1
老师讲的很棒，讲的很清晰，不愧是北大的老师，膜拜！,1
讲的贼清楚明白。我们老师过于循循善诱诱的我直接入睡。这里很好，一下子讲完我们几周的课，听得很爽。当然确实量很大比较难全部掌握，但是真的感觉爽。,1
测验题目非常好,1
太好了，使我受益匪浅,1
感觉好，收获很大,1
太棒了，直接爱了！,1
很喜欢这个课,1
是在大一上线下上魏老师课程的，今天好奇就在mooc上搜索了一下老师的名字，老师讲的课对于我这个非计算机专业的学生来说可以说是事无巨细，一学期下来我真的学到了很多关于数据结果的知识，更重要的是在每次的讨论作业的和魏老师交流，魏老师给出我们意见并且表达他的理解时，我真心认为自己的数据结构方面的思维在这学期有了超级大的进步，对于我这个物理系专业，并且还没开始学习其他编程语言的人来说，我真心感谢魏老师的课程教育。,1
小白专场十分好！让我在编程方面有了不少长进,1
打call,1
老师，课件听完，没有相关练习吗？,0
这门课使得我重新捡起数据结构方面的知识，温故而知新，感谢耿老师的教授！,1
讲解内容易懂,1
老师讲的十分详细很喜欢很有帮助,1
不错，学的很多,1
好，感谢老师，老师辛苦了,1
老师讲课的干货很多，学习之后受益匪浅，相信在之后的学习中数据结构和算法这门课程能取得很好的成绩,1
老师真的很用心了，谢谢付出！,1
老师讲课讲课真的超级浅显易懂，但是也有缺点，缺点不是老师讲课的问题，而是这个视频课的录制问题，声音一会儿大一会儿小，有时候屏幕太暗，建议真的提升一下这个课的录制，总的来说，很棒！,1
很好，很不错,1
生动形象，通俗易懂,1
打CALL打CALL,1
我很庆幸能选择这门课，我通过这门课学到了很多,1
姥姥的课讲的很周到也很全面，就是难度偏高，适合二刷及以上的同学观看，其次课后作业难度也较高，吃透题目后收获到的东西有很多，总的来说，赞！,1
老师讲课语速适中，吐字清晰，上课过程中把复杂问题简单化，课后答疑认真负责，实乃名师风范！看了不少数据结构的网课，自认为于老师的这门课程是讲得最好的，没有太多深奥晦涩的语言，能够简短直白地说明问题，我这种非计算机专业的学生都可以听懂，向大家极力推荐这门课程，作为编程底层知识的储备与补充非常合适！感谢教学团队！,1
有些地方还是比较难的，现在才大二有些东西还是比较难啃，但是课程比较好,1
老师讲课讲的很好,1
客观评价，视频像素太低，代码可读性有点弱，老师讲课有点也不用拎着教鞭对着镜子指想要指的位置，视频拖的有点冗长，另外习题和测试中有很多表述不够清晰，答案有点出入的地方。希望有高清重置连贯剪辑优化版的视频，有更加严谨的练习题，和更加美观的ppt，也希望老师讲课放轻松，别紧张，大可像学校讲课那样，想象您面前人山人海的都是武汉理工莘莘学子。另外严的教材太过生涩，到处是伪代码，给人的感觉就像耍嘴皮子，纸上谈兵。,0
这个课程讲的太好了,1
感觉挺不错的！,1
老师的课程内容精炼，测试题目有的放矢，在巩固课上内容的同时，也补充了一些细节知识点，老师也工作到12点以后，很辛苦,1
这个操作系统讲的挺好,1
我很喜欢它。,1
对数据结构课程理解更为深入,1
非常实用的一款APP(老师推荐的),1
非常的好，内容详细,1
挺好的哈哈,1
很好。很喜欢,1
内容很丰富，很有趣,1
课后题真的有点难,0
课程很好，讲的很细,1
讲得挺好的每个知识点都分析得很细致。,1
非常不错！值得学习,1
讲的不详细，也不清晰。,1
很好非常好,1
老师的课件设计清晰，讲解深入浅出，挑看的几节超级喜欢。谢谢有这么好免费平台。,1
非常棒，深入浅出通俗易懂,1
课程内容非常有用。,1
queshbucuo,1
很不错，希望下次能讲的多点,1
还行还行吧,1
课堂上听不懂的可以来这里看下，特别棒！,1
还是很不错的,1
课程讲解的很清晰,1
帮助我们更好的理解数据结构的知识体系，掌握知识更加的牢固。,1
国家金牌课程,1
实话实说，很感谢陈姥姥，何老师，即使是讲最简单最不起眼的冒泡排序都能让我眼前一亮，两位老师讲课很面面俱到，深入浅出，姥姥推荐的mathwolves让我自惭形秽，要更努力学习才可啊。,1
知识点比较全面，讲解清晰，值得推荐,1
太难，没点基础学不会,0
清楚，详细,1
老师上课细心，课程内容丰富有趣，让我对数据结构有了初步的认识。,1
课程结构清晰，重点突出，特别是进程管理中的同步和互斥这方面讲解的很清楚，但是整体课程偏重概念讲解，少了一些代码方面的练习。,1
老师讲的特别棒，通俗易懂，让我知道学渣把以前觉得很难得东西都弄懂了！,1
本课程挺好的。,1
非常好，希望作业有详细答案,1
很好.,1
周老师讲的太好了,1
非常好的课程，讲的十分的详细，对于小白也十分的友好不需要什么功底就可以听懂，但是还是要动手实践,1
讲解详细，语速适中。手动点赞,1
浙大，一如既往的好啊。,1
老师讲的很好！,1
0、网络真的很强大，用在学习上将是一个非常高效的助手。几乎所有的资料都能够在网上找到。从linux虚拟机的安装，到linux的各种基本命令操作，再到gtk的图形函数，最后到文件系统的详细解析。这些都能在网上找到。也因为这样，整个课程设计下来，我浏览的相关网页已经超过了000个(不完全统计)。当然网上的东西很乱很杂，自己要能够学会筛选。不能决定对或错的，有个很简单的方法就是去尝试。,1
老师上课很认真，课堂讨论也会及时回复，学到了很多知识~,1
操作系统这门课程非常系统地讲述了一些原理问题，还有一些算法问题，非常不错！,1
很棒的课程，老师很负责呦,1
讲太快了，不是很细，期末复习听听还行，不建议初学者听,1
课程非常nice,1
期待早点开课,1
老师讲的很清楚，听了真的明白了好多,1
内容全面而不拖沓适合感兴趣的朋友快速学习,1
那个男的能不能稍微认真备下课...一个国家级的精品课程经不起推敲就搞笑了,0
"课程非常通俗易懂,核心内容还是非常好理解的.",1
每次视频课都很通俗易懂，实操性很强，老师讲解细致,1
结合操作系统概念一起看比较好。李老师说得很好。,1
这个课程好！,1
教学课程很好，很清晰，收获很大,1
讲的不错，很详细,1
在学习操作系统的过程中，有些知识点一直不太理解，但是这位老师在讲解这些知识点的时候讲的特别通俗易懂，很感谢这位老师，也很感谢这个平台！,1
老师贴心，内容精炼。,1
内容充实，比较好理解。,1
老师注意身体啊,1
是一个很好地Linux系统入门课程，通过本门课可以快速了解到Linux一些基本知识，为后续继续探索Linux提供了很好地前期知识准备。建议增加些实操项目，比如anaconda安装、使用，以及其他的一些Windows中的软件在Linux的安装使用,1
这不就是疯狂的读PPT吗？难道电子科技大学没有优质的网课吗？汇编不行，这个也不行？还有那神烦的背景音乐？都是些什么鬼！老师根本不管理后续的作业讨论，什么都没有。。。。。,0
讲的非常好，非常推荐！,1
感谢老师深入浅出的讲授,1
受益匪浅，学到了很多,1
收获很大，学习到了不少知识,1
非常好，内容很细,1
非常好，课程很有用,1
徐老师辛苦啦,1
"实战性相当强,深受启发.",1
感觉讲的都很好,1
请问有视频资源吗？,1
"北大的老师讲的好好哦,内容也全",1
浅显易懂比较好,1
这是个很不错的课程,1
这个课程太棒了，让我受益匪浅,1
老师普通话太差,0
老师讲的课程条理很清晰，很好。对我的学习起到了很大的作用。,1
内容丰富多彩，重点突出，细节完整容易理解，教学经验丰富有趣，知识点清晰明了，易于学生掌握。,1
还是不错的,1
老师讲课特别清晰，解决了我很多问题,1
震惊，这个课程竟然是我们拖拉机学院出的，啥，这是南大的课？爱了爱了，原来我们拖拉机学院和南大一个水平，好开心呀哈哈,0
比喻生动，老师好看，讲解透彻，好课，好课，赞赞赞,1
